game_id,season,week,away_team,home_team,predicted_home_margin,spread_line,spread_edge,spread_side,predicted_total,total_line,total_edge,total_side,projected_away_score,projected_home_score,spread_model,total_model,game_type,gameday,weekday,gametime,away_score,home_score,location_x,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,away_spread_odds,home_spread_odds,under_odds,over_odds,div_game,roof_x,surface_x,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium_x,home_expected_qb_epa,home_baseline_qb_epa,home_expected_qb_name,home_baseline_qb_name,home_depth_chart_date,home_qb_context_source,home_baseline_qb_source,home_qb_context_confidence,away_expected_qb_epa,away_baseline_qb_epa,away_expected_qb_name,away_baseline_qb_name,away_depth_chart_date,away_qb_context_source,away_baseline_qb_source,away_qb_context_confidence,home_qb_change_points,away_qb_change_points,market_home_margin,home_injury_players_reported,home_injury_out_count,home_injury_doubtful_count,home_injury_questionable_count,home_injury_unknown_count,home_injury_report_date,home_injury_source,home_injury_auto_points,away_injury_players_reported,away_injury_out_count,away_injury_doubtful_count,away_injury_questionable_count,away_injury_unknown_count,away_injury_report_date,away_injury_source,away_injury_auto_points,location_y,roof_y,surface_y,stadium_y,weather_available,weather_source,forecast_time_utc,temperature_f,wind_mph,wind_gust_mph,precipitation_probability_pct,precipitation_in,weather_code,weather_auto_points
2026_01_NE_SEA,2026,1,NE,SEA,2.1269811813956556,-3.0,-0.8730188186043444,NE,45.90956733065942,44.5,1.4095673306594207,OVER,21.891293074631882,24.01827425602754,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-09,Wednesday,20:20,10.0,13.0,Home,3.0,23.0,0.0,2026090900,60178.0,,202609090sea,,401872656,,7,7,140.0,-166.0,-102.0,-118.0,-112.0,-108.0,0,outdoors,fieldturf,,,00-0039851,00-0034869,Drake Maye,Sam Darnold,Mike Vrabel,Mike Macdonald,,SEA00,Lumen Field,0.023034922116982055,0.03478171394157715,Sam Darnold,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.0029566405772294335,-0.009490089989046425,Drake Maye,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.11526187074129197,0.12212980966241199,3.0,25,6,1,0,0,2026-09-11 01:24:00+00:00,espn,0.0,25,8,0,0,1,2026-09-12 20:56:00+00:00,espn,0.0,Home,outdoors,fieldturf,Lumen Field,True,open-meteo,2026-09-12 00:00:00+00:00,65.1,1.2,3.8,0,0.0,3,0.0
2026_01_SF_LA,2026,1,SF,LA,4.5526637469188325,-3.5,1.0526637469188325,LA,47.775633461297176,47.5,0.2756334612971756,OVER,21.611484857189172,26.164148604108004,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-10,Thursday,20:35,27.0,7.0,Neutral,-20.0,34.0,0.0,2026091100,60179.0,,202609100ram,,401872657,,7,7,180.0,-218.0,-105.0,-115.0,-105.0,-115.0,1,dome,matrixturf,,,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,,MEL00,Melbourne Cricket Ground,0.09446018393743008,0.09296731095001477,Matthew Stafford,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.057915179188435306,0.04807918137453685,Brock Purdy,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.01464836832711649,0.09651277774953443,3.5,25,0,0,1,0,2026-09-12 01:33:00+00:00,espn,0.0,25,6,0,2,1,2026-09-12 01:46:00+00:00,espn,0.0,Neutral,dome,matrixturf,Melbourne Cricket Ground,False,missing,,,,,,,,0.0
2026_01_ATL_PIT,2026,1,ATL,PIT,2.576999631951951,-6.0,-3.423000368048049,ATL,42.30487271891649,41.5,0.8048727189164921,OVER,19.86393654348227,22.44093617543422,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091306,60186.0,,202609130pit,,401872658,,7,7,215.0,-265.0,-110.0,-110.0,-115.0,-105.0,0,outdoors,grass,,,00-0033662,00-0023459,Cooper Rush,Aaron Rodgers,Raheem Morris,Mike McCarthy,,PIT00,Acrisure Stadium,-0.06700168829411011,-0.06663573909524553,Aaron Rodgers,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.14664146840187972,-0.03015256062729412,Cooper Rush,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart+espn-out-filter,recency-dropback-weighted-team-qb,availability-filtered+embedded-baseline,-0.0035907667290990507,-1.1430124608657888,6.0,25,1,0,1,2,2026-09-11 23:42:00+00:00,espn,0.0,25,5,0,2,4,2026-09-12 20:59:00+00:00,espn,0.0,Home,outdoors,grass,Acrisure Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,80.2,5.7,9.4,0,0.0,0,0.0
2026_01_BAL_IND,2026,1,BAL,IND,2.3387465361413846,3.5,5.838746536141384,IND,48.6215209240007,47.5,1.1215209240006985,OVER,23.141387193929656,25.480133730071042,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091304,60184.0,,202609130clt,,401872659,,7,7,-175.0,145.0,-105.0,-115.0,-105.0,-115.0,0,,fieldturf,,,00-0034796,00-0035710,Lamar Jackson,Daniel Jones,Jesse Minter,Shane Steichen,,IND00,Lucas Oil Stadium,-0.022267924978640614,-0.048504987352440306,Daniel Jones,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.024654374823536926,-0.010226248358692956,Lamar Jackson,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.25744330342419736,0.3422556507886761,-3.5,25,1,0,1,4,2026-09-12 17:24:00+00:00,espn,0.0,25,2,0,1,3,2026-09-12 20:05:00+00:00,espn,0.0,Home,,fieldturf,Lucas Oil Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,77.7,4.4,6.3,3,0.0,3,0.0
2026_01_BUF_HOU,2026,1,BUF,HOU,1.184453346512154,1.5,2.684453346512154,HOU,43.43922958310003,44.5,-1.0607704168999703,UNDER,21.127388118293936,22.311841464806093,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091303,60183.0,,202609130htx,,401872660,,7,7,-118.0,-102.0,-108.0,-112.0,-110.0,-110.0,0,,astroturf,,,00-0034857,00-0039163,Josh Allen,C.J. Stroud,Sean McDermott,DeMeco Ryans,,HOU00,Reliant Stadium,-0.03654956020856167,-0.05746577926185924,C.J. Stroud,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.06406056523350424,0.09225533698062002,Josh Allen,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.20523412459476642,-0.2766527393370495,-1.5,25,2,0,0,8,2026-09-12 20:30:00+00:00,espn,0.0,25,2,0,4,1,2026-09-12 20:18:00+00:00,espn,0.0,Home,,astroturf,Reliant Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,92.6,2.0,5.1,12,0.0,2,0.0
2026_01_CHI_CAR,2026,1,CHI,CAR,-0.6159321335945589,3.0,2.384067866405441,CAR,48.337155539085664,47.5,0.8371555390856642,OVER,24.476543836340113,23.86061170274555,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091300,60180.0,,202609130car,,401872661,,7,7,-166.0,140.0,-118.0,-102.0,-110.0,-110.0,0,outdoors,grass,,,00-0039918,00-0039150,Caleb Williams,Bryce Young,Ben Johnson,Dave Canales,,CAR00,Bank of America Stadium,-0.07584303891409404,-0.07947713286549513,Bryce Young,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.019057217154669615,0.015346392853072344,Caleb Williams,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.035658456669937756,0.036411350212132744,-3.0,25,4,0,0,3,2026-09-11 23:13:00+00:00,espn,0.0,25,2,0,4,4,2026-09-12 17:39:00+00:00,espn,0.0,Home,outdoors,grass,Bank of America Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,87.0,5.2,7.6,1,0.0,0,0.0
2026_01_CLE_JAX,2026,1,CLE,JAX,5.134107185456955,-8.5,-3.365892814543045,CLE,41.184808311042,39.5,1.6848083110419978,OVER,18.02535056279252,23.159457748249476,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091305,60185.0,,202609130jax,,401872922,,7,7,350.0,-455.0,-108.0,-112.0,-102.0,-118.0,0,outdoors,grass,,,00-0033537,00-0036971,Deshaun Watson,Trevor Lawrence,Todd Monken,Liam Coen,,JAX00,EverBank Stadium,0.021212686320780442,0.02753547665567935,Trevor Lawrence,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.11467897453957335,-0.24559422369682216,Deshaun Watson,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.06204048332409508,1.284566607780757,8.5,25,0,0,1,5,2026-09-12 20:21:00+00:00,espn,0.0,25,3,0,0,6,2026-09-12 00:36:00+00:00,espn,0.0,Home,outdoors,grass,EverBank Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,87.7,6.7,9.2,5,0.0,1,0.0
2026_01_NO_DET,2026,1,NO,DET,3.1291798251558447,-7.0,-3.8708201748441553,NO,49.860568931160564,49.5,0.36056893116056443,OVER,23.36569455300236,26.494874378158205,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091302,60182.0,,202609130det,,401872923,,7,7,270.0,-340.0,-110.0,-110.0,-108.0,-112.0,0,dome,fieldturf,,,00-0040743,00-0033106,Tyler Shough,Jared Goff,Kellen Moore,Dan Campbell,,DET00,Ford Field,0.10219485767320746,0.09567615883582523,Jared Goff,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.05381046836134424,-0.07402241040339017,Tyler Shough,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.06396277673216198,0.19832361770496304,7.0,25,3,0,1,3,2026-09-12 17:21:00+00:00,espn,0.0,25,3,0,1,6,2026-09-12 18:29:00+00:00,espn,0.0,Home,dome,fieldturf,Ford Field,True,open-meteo,2026-09-13 17:00:00+00:00,79.6,7.9,16.3,3,0.0,0,0.0
2026_01_NYJ_TEN,2026,1,NYJ,TEN,1.3473407390827228,-1.5,-0.15265926091727722,NYJ,40.125087243924426,38.5,1.6250872439244262,OVER,19.38887325242085,20.736213991503575,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091307,60187.0,,202609130oti,,401872924,,7,7,102.0,-122.0,-110.0,-110.0,-108.0,-112.0,0,outdoors,grass,,,00-0030565,00-0040676,Geno Smith,Cam Ward,Aaron Glenn,Robert Saleh,,NAS00,Nissan Stadium,-0.14860254092284453,-0.16715847256361502,Cam Ward,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.1121424008215176,-0.1703505298868878,Geno Smith,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.18207451244556822,0.5711498040152257,1.5,25,1,0,1,7,2026-09-12 00:47:00+00:00,espn,0.0,25,3,1,0,6,2026-09-12 21:14:00+00:00,espn,0.0,Home,outdoors,grass,Nissan Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,92.8,3.0,10.5,0,0.0,1,0.0
2026_01_TB_CIN,2026,1,TB,CIN,0.5172660444420959,-3.5,-2.982733955557904,TB,53.06911506731683,50.5,2.5691150673168295,OVER,26.275924511437367,26.793190555879463,Oak spread: promoted V5 core + validated adjustments,Oak totals: locked V12,REG,2026-09-13,Sunday,13:00,,,Home,,,,2026091301,60181.0,,202609130cin,,401872925,,7,7,170.0,-205.0,-108.0,-112.0,-112.0,-108.0,0,outdoors,fieldturf,,,00-0034855,00-0036442,Baker Mayfield,Joe Burrow,Todd Bowles,Zac Taylor,,CIN00,Paycor Stadium,0.055671712234987465,-0.0007195372166951744,Joe Burrow,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,-0.005807448005053702,-0.017398572248600516,Baker Mayfield,Embedded team QB,2026-09-12 11:36:06+00:00,nflverse-depth-chart,recency-dropback-weighted-team-qb,depth-chart+embedded-baseline,0.5533222178698004,0.11373442930253005,3.5,25,0,1,0,2,2026-09-12 20:08:00+00:00,espn,0.0,25,0,3,1,4,2026-09-12 20:32:00+00:00,espn,0.0,Home,outdoors,fieldturf,Paycor Stadium,True,open-meteo,2026-09-13 17:00:00+00:00,83.7,4.5,10.7,1,0.0,0,0.0
